Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Ubi1_1 Spectral Count	Ubi1_2 Spectral Count	Ubi1_3 Spectral Count	Ubi4_1 Spectral Count	Ubi4_2 Spectral Count	Ubi4_3 Spectral Count	Ubi6_1 Spectral Count	Ubi6_2 Spectral Count	Ubi6_3 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Ubi1_1 Unique Spectral Count	Ubi1_2 Unique Spectral Count	Ubi1_3 Unique Spectral Count	Ubi4_1 Unique Spectral Count	Ubi4_2 Unique Spectral Count	Ubi4_3 Unique Spectral Count	Ubi6_1 Unique Spectral Count	Ubi6_2 Unique Spectral Count	Ubi6_3 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Ubi1_1 Total Spectral Count	Ubi1_2 Total Spectral Count	Ubi1_3 Total Spectral Count	Ubi4_1 Total Spectral Count	Ubi4_2 Total Spectral Count	Ubi4_3 Total Spectral Count	Ubi6_1 Total Spectral Count	Ubi6_2 Total Spectral Count	Ubi6_3 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Ubi1_1 Intensity	Ubi1_2 Intensity	Ubi1_3 Intensity	Ubi4_1 Intensity	Ubi4_2 Intensity	Ubi4_3 Intensity	Ubi6_1 Intensity	Ubi6_2 Intensity	Ubi6_3 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Ubi1_1 MaxLFQ Intensity	Ubi1_2 MaxLFQ Intensity	Ubi1_3 MaxLFQ Intensity	Ubi4_1 MaxLFQ Intensity	Ubi4_2 MaxLFQ Intensity	Ubi4_3 MaxLFQ Intensity	Ubi6_1 MaxLFQ Intensity	Ubi6_2 MaxLFQ Intensity	Ubi6_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q9NYU2|UGGG1_HUMAN	Q9NYU2	UGGG1_HUMAN	UGGT1	1555	Homo sapiens OX=9606	1:Experimental evidence at protein level	UDP-glucose:glycoprotein glucosyltransferase 1	1.0	0.999	4	21	14	21	1	3	0	4	0	1	1	2	1	3	3	2	0	2	0	3	0	1	1	1	0	2	2	2	1	3	0	4	0	1	1	2	1	3	3	2	1.2491461E7	2.640746E7	7636232.0	3.1192654E7	0.0	0.0	1.2916754E7	4.2037328E7	2.3552896E7	3.3820128E7	4.8345008E7	5.7292012E7	7760072.5	1.0384511E7	0.0	2.2455686E7	0.0	0.0	0.0	3.00209E7	1.9246252E7	1.3663902E7	2.3335108E7	2.8157324E7	
sp|Q9NYV4|CDK12_HUMAN	Q9NYV4	CDK12_HUMAN	CDK12	1490	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-dependent kinase 12	1.0	0.999	21	125	113	145	11	16	16	9	15	14	5	4	9	10	6	10	8	14	15	7	14	13	5	4	8	10	6	9	13	18	18	10	16	16	6	6	11	11	8	12	3.45021312E8	5.11553888E8	5.07676736E8	3.20126816E8	4.62374688E8	3.33980928E8	2.0314648E8	1.41347024E8	2.63874688E8	3.13786272E8	2.13359344E8	2.31481648E8	1.19209328E8	1.36639536E8	1.30684632E8	1.19278624E8	1.24914608E8	1.1737596E8	7.884168E7	8.3747792E7	9.1710032E7	1.11588488E8	9.0324112E7	9.5504664E7	
sp|Q9NYY3|PLK2_HUMAN	Q9NYY3	PLK2_HUMAN	PLK2	685	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase PLK2	1.0	0.9987	6	21	15	21	3	2	3	4	2	1	1	0	2	2	1	0	2	1	2	3	2	0	1	0	1	2	1	0	3	2	3	4	2	1	1	0	2	2	1	0	1.31118344E8	1.0750375E7	2.6017562E7	7652901.0	6.6668568E7	0.0	3103193.5	0.0	1.0376342E7	2.114904E7	5623004.0	0.0	2.493707E7	0.0	1.726825E7	1.4051308E7	1.4678471E7	0.0	0.0	0.0	1.0031485E7	2.8319738E7	0.0	0.0	
sp|Q9NYY8|FAKD2_HUMAN	Q9NYY8	FAKD2_HUMAN	FASTKD2	710	Homo sapiens OX=9606	1:Experimental evidence at protein level	FAST kinase domain-containing protein 2, mitochondrial	1.0	0.999	8	32	32	32	3	2	5	2	3	4	2	1	3	3	2	2	3	2	5	2	3	4	2	1	3	3	2	2	3	2	5	2	3	4	2	1	3	3	2	2	3.130679E7	1.59242512E8	1.93407264E8	2.2221984E7	2.4331992E7	3.1209176E7	3.0565714E7	4.8790052E7	5.4433744E7	2.5150164E7	5.35356E7	4.72595E7	2.1193086E7	3.506874E7	2.70273E7	2.7852528E7	2.9887328E7	2.2582E7	0.0	3.5840496E7	4.3063132E7	3.4764756E7	3.4897968E7	3.0060718E7	
sp|Q9NYZ3|GTSE1_HUMAN	Q9NYZ3	GTSE1_HUMAN	GTSE1	720	Homo sapiens OX=9606	1:Experimental evidence at protein level	G2 and S phase-expressed protein 1	0.9998	0.9988	2	3	3	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0.0	0.0	2903424.8	0.0	0.0	0.0	0.0	0.0	3184638.5	0.0	4651766.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZ01|TECR_HUMAN	Q9NZ01	TECR_HUMAN	TECR	308	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very-long-chain enoyl-CoA reductase	1.0	0.999	17	121	121	121	9	12	17	7	17	14	5	8	12	8	2	10	9	12	17	7	17	14	5	8	12	8	2	10	9	12	17	7	17	14	5	8	12	8	2	10	2.81261107E9	1.8429577E9	3.11828301E9	2.04807283E9	3.57115622E9	2.77847194E9	2.03978522E9	2.2055273E9	2.53912243E9	2.32205798E9	2.00064346E9	2.28569779E9	1.25937792E9	1.25053837E9	2.27135821E9	1.03955962E9	2.29660211E9	2.13101158E9	1.4015415E9	1.7910871E9	1.55582387E9	1.33038464E9	1.78441446E9	1.65091277E9	
sp|Q9NZ08|ERAP1_HUMAN	Q9NZ08	ERAP1_HUMAN	ERAP1	941	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum aminopeptidase 1	1.0	0.9989	4	4	4	4	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4244067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZ09|UBAP1_HUMAN	Q9NZ09	UBAP1_HUMAN	UBAP1	502	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-associated protein 1	1.0	0.9984	4	10	10	10	0	0	0	0	2	0	2	2	2	1	1	0	0	0	0	0	2	0	2	2	2	1	1	0	0	0	0	0	2	0	2	2	2	1	1	0	0.0	0.0	7057870.5	0.0	1.0040631E7	7012764.5	1.7354162E7	1.984508E7	1.1345456E7	0.0	2.2754248E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZ32|ARP10_HUMAN	Q9NZ32	ARP10_HUMAN	ACTR10	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 10	0.8811	0.9975	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZ45|CISD1_HUMAN	Q9NZ45	CISD1_HUMAN	CISD1	108	Homo sapiens OX=9606	1:Experimental evidence at protein level	CDGSH iron-sulfur domain-containing protein 1	1.0	0.999	5	34	34	34	4	1	5	3	4	5	3	2	2	2	1	2	4	1	5	3	4	5	3	2	2	2	1	2	4	1	5	3	4	5	3	2	2	2	1	2	1.87308704E8	1.34504288E8	1.99653312E8	1.32827088E8	1.14304392E8	1.19282904E8	6.445352E7	0.0	9.403876E7	1.04965072E8	5.2550292E7	4.1386692E7	8.2729728E7	5.9441168E7	9.9790968E7	7.5590728E7	1.2212492E8	7.6803656E7	3.0137834E7	0.0	7.0309936E7	6.3729484E7	1.8769428E7	3.6547484E7	
sp|Q9NZ63|TLS1_HUMAN	Q9NZ63	TLS1_HUMAN	C9orf78	289	Homo sapiens OX=9606	1:Experimental evidence at protein level	Telomere length and silencing protein 1 homolog	0.9902	0.999	2	6	6	6	0	0	1	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0.0	0.0	2841259.0	0.0	0.0	4962499.0	1.526805E7	0.0	3842939.0	1.0376671E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZB2|F120A_HUMAN	Q9NZB2	F120A_HUMAN	FAM120A	1118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Constitutive coactivator of PPAR-gamma-like protein 1	1.0	0.999	39	427	356	427	35	47	46	33	43	39	26	24	35	37	34	28	30	42	41	29	39	34	18	18	29	28	25	23	35	47	46	33	43	39	26	24	35	37	34	28	2.07544384E9	2.37601229E9	3.30122675E9	2.1605673E9	2.24464922E9	2.56925901E9	2.68189568E9	1.64772378E9	2.39172275E9	2.0555136E9	1.96965453E9	2.13735437E9	2.46821312E8	2.35093264E8	2.74692512E8	2.21937664E8	2.34605568E8	2.55169456E8	2.3249536E8	2.25545968E8	2.05269536E8	2.12783536E8	2.11818448E8	2.2178248E8	
sp|Q9NZC9|SMAL1_HUMAN	Q9NZC9	SMAL1_HUMAN	SMARCAL1	954	Homo sapiens OX=9606	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	1.0	0.9989	7	19	19	19	0	1	2	0	3	4	2	3	1	2	0	1	0	1	2	0	3	4	2	3	1	2	0	1	0	1	2	0	3	4	2	3	1	2	0	1	1.6465947E7	8147635.5	3.6038368E7	1.6701678E7	2.2219866E7	1.3689306E7	2.490044E7	4577184.0	1854615.6	9597837.0	0.0	0.0	0.0	0.0	3.7775024E7	0.0	1.1397972E7	0.0	1.9838712E7	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZD8|SPG21_HUMAN	Q9NZD8	SPG21_HUMAN	SPG21	308	Homo sapiens OX=9606	1:Experimental evidence at protein level	Maspardin	1.0	0.9984	4	8	8	8	1	0	1	0	0	0	0	0	1	3	0	2	1	0	1	0	0	0	0	0	1	3	0	2	1	0	1	0	0	0	0	0	1	3	0	2	1.2443976E7	0.0	3.2085264E7	1.6555762E7	0.0	1.1168177E7	2.6844636E7	1.8615344E7	2.9035386E7	2.762178E7	8161121.0	2.8575928E7	0.0	0.0	2.3416286E7	0.0	0.0	0.0	0.0	0.0	1.4513642E7	1.733745E7	0.0	1.6076921E7	
sp|Q9NZI7|UBIP1_HUMAN	Q9NZI7	UBIP1_HUMAN	UBP1	540	Homo sapiens OX=9606	1:Experimental evidence at protein level	Upstream-binding protein 1	0.9999	0.9989	3	5	5	6	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0.0	0.0	0.0	4041277.2	6868228.0	0.0	3836758.2	0.0	4465955.5	4251327.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZI8|IF2B1_HUMAN	Q9NZI8	IF2B1_HUMAN	IGF2BP1	577	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 1	1.0	0.999	25	221	213	248	22	22	23	13	28	28	13	7	22	15	16	12	21	21	22	13	27	27	13	7	21	14	16	11	24	25	26	15	31	31	15	8	24	17	18	14	4.22632781E9	4.4872018E9	4.5740093E9	3.85282688E9	3.53939738E9	4.5383132E9	3.59881395E9	2.51601562E9	3.87770342E9	3.22460339E9	3.12315853E9	3.91716045E9	6.3986099E8	6.3500218E8	6.5772307E8	6.0048896E8	5.6007475E8	6.5535232E8	5.1926496E8	4.70094912E8	5.4339315E8	5.998055E8	4.99297536E8	5.5225069E8	
sp|Q9NZJ5|E2AK3_HUMAN	Q9NZJ5	E2AK3_HUMAN	EIF2AK3	1116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2-alpha kinase 3	0.981	0.9985	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3911566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZL9|MAT2B_HUMAN	Q9NZL9	MAT2B_HUMAN	MAT2B	334	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methionine adenosyltransferase 2 subunit beta	0.9371	0.9988	1	4	4	4	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1.2071181E7	1.3798083E7	1.1147705E7	1.828711E7	0.0	7632284.5	0.0	0.0	3.331363E7	1.989078E7	2.7675746E7	3.815148E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZM1|MYOF_HUMAN	Q9NZM1	MYOF_HUMAN	MYOF	2061	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myoferlin	1.0	0.999	18	44	40	44	4	3	6	0	2	5	4	2	4	6	4	4	4	2	5	0	2	4	4	2	4	6	3	4	4	3	6	0	2	5	4	2	4	6	4	4	1.0594867E7	1.2885815E7	3.0046562E7	5791675.0	0.0	1.786628E7	2.83304E7	2114109.8	2.1401016E7	1.5896046E7	1.8569924E7	2.0931412E7	5241333.0	0.0	1.0527078E7	0.0	0.0	5468777.5	2.0864622E7	0.0	1.7692034E7	0.0	1.0160036E7	8926712.0	
sp|Q9NZN4|EHD2_HUMAN	Q9NZN4	EHD2_HUMAN	EHD2	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	EH domain-containing protein 2	1.0	0.999	13	92	84	92	6	6	7	8	7	10	6	6	9	8	11	8	6	6	7	6	6	9	6	6	8	7	10	7	6	6	7	8	7	10	6	6	9	8	11	8	5.902745E8	5.6659014E8	5.8498048E8	7.8661267E8	5.5160518E8	5.6932403E8	7.6353152E8	5.20058784E8	7.4909997E8	4.8445008E8	6.3562317E8	6.7166208E8	1.78948384E8	1.81994704E8	1.5864944E8	1.96787488E8	1.68234368E8	1.74666848E8	2.16586368E8	2.14359664E8	2.06748608E8	1.78178736E8	2.04737232E8	2.16258192E8	
sp|Q9NZN5|ARHGC_HUMAN	Q9NZN5	ARHGC_HUMAN	ARHGEF12	1544	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho guanine nucleotide exchange factor 12	1.0	0.999	10	13	13	13	1	3	0	1	2	2	1	2	0	1	0	0	1	3	0	1	2	2	1	2	0	1	0	0	1	3	0	1	2	2	1	2	0	1	0	0	0.0	1.34823824E8	0.0	7484279.5	1.2948817E7	1.9448136E7	2.0565208E7	8364807.0	8.8164016E7	1634644.0	3573616.0	1.4559459E7	0.0	3.1682816E7	0.0	0.0	0.0	5.802478E7	8714178.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NZN8|CNOT2_HUMAN	Q9NZN8	CNOT2_HUMAN	CNOT2	540	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 2	1.0	0.999	3	26	26	26	4	2	3	4	1	2	0	2	0	5	1	2	4	2	3	4	1	2	0	2	0	5	1	2	4	2	3	4	1	2	0	2	0	5	1	2	3.7030152E7	4.8028336E7	4.22638E7	6.6640408E7	0.0	3.06539E7	0.0	5310488.0	3.546932E7	6.2231432E7	1.172878E7	4.4226552E7	2.4334864E7	3.201776E7	2.5951262E7	4.2481424E7	0.0	0.0	0.0	0.0	0.0	4.0349812E7	0.0	3.784106E7	
sp|Q9NZQ3|SPN90_HUMAN	Q9NZQ3	SPN90_HUMAN	NCKIPSD	722	Homo sapiens OX=9606	1:Experimental evidence at protein level	NCK-interacting protein with SH3 domain	1.0	0.999	7	40	40	40	2	3	6	2	5	4	3	3	3	5	1	3	2	3	6	2	5	4	3	3	3	5	1	3	2	3	6	2	5	4	3	3	3	5	1	3	5.25052E7	4.4435476E7	9.0677008E7	5.3192784E7	7.0800336E7	4.579384E7	5.6185612E7	6.7628904E7	5.2105052E7	5.8924196E7	3.7948624E7	6.2789864E7	2.0819888E7	2.0918508E7	2.2165348E7	3.0502332E7	2.1396802E7	1.8919944E7	2.8412606E7	2.571998E7	2.284295E7	3.2637042E7	2.7005418E7	2.7113174E7	
sp|Q9NZT1|CALL5_HUMAN	Q9NZT1	CALL5_HUMAN	CALML5	146	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calmodulin-like protein 5	1.0	0.999	5	14	13	14	4	1	0	1	0	2	1	2	0	0	2	1	4	1	0	1	0	2	1	2	0	0	1	1	4	1	0	1	0	2	1	2	0	0	2	1	3.84297472E8	2.5760656E7	0.0	3.4456304E7	6786400.5	6.1243112E7	6070298.0	8773471.0	0.0	0.0	8.759036E7	3576010.8	4.85664544E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1372172E7	0.0	
sp|Q9NZT2|OGFR_HUMAN	Q9NZT2	OGFR_HUMAN	OGFR	677	Homo sapiens OX=9606	1:Experimental evidence at protein level	Opioid growth factor receptor	1.0	0.999	6	30	30	30	2	3	4	1	2	4	3	1	4	3	3	0	2	3	4	1	2	4	3	1	4	3	3	0	2	3	4	1	2	4	3	1	4	3	3	0	6170138.0	8595682.0	5711660.0	0.0	0.0	5385090.5	1.8133096E7	0.0	2.4049848E7	1.9949186E7	7694241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8141104.5	0.0	1.2452651E7	1.0302791E7	0.0	0.0	
sp|Q9NZW5|PALS2_HUMAN	Q9NZW5	PALS2_HUMAN	PALS2	540	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PALS2	1.0	0.9989	8	27	27	27	2	1	2	3	3	3	2	2	3	3	1	2	2	1	2	3	3	3	2	2	3	3	1	2	2	1	2	3	3	3	2	2	3	3	1	2	9.5894496E7	1.07003008E8	6.4673472E7	1.20925864E8	2.6694342E7	3.9122308E7	7.1232944E7	7.235032E7	1.2413364E8	1.12291272E8	7.521488E7	6.8607104E7	3.1045532E7	3.712022E7	2.5132004E7	3.84111E7	2.8709206E7	2.9083458E7	4.7469364E7	4.3127928E7	4.112834E7	4.1021516E7	5.2082464E7	4.8770176E7	
sp|Q9P003|CNIH4_HUMAN	Q9P003	CNIH4_HUMAN	CNIH4	139	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein cornichon homolog 4	0.9919	0.999	1	17	17	17	1	2	2	0	1	2	1	1	2	1	2	2	1	2	2	0	1	2	1	1	2	1	2	2	1	2	2	0	1	2	1	1	2	1	2	2	1.3536044E7	8627664.0	7396108.0	4.9604536E7	2.4422178E7	2.940712E7	0.0	6.9144152E7	5.656634E7	0.0	5.5756148E7	7.2452552E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7961536E7	5.967514E7	
sp|Q9P015|RM15_HUMAN	Q9P015	RM15_HUMAN	MRPL15	296	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L15, mitochondrial	1.0	0.9988	6	10	10	10	0	0	1	1	2	2	1	0	1	0	2	0	0	0	1	1	2	2	1	0	1	0	2	0	0	0	1	1	2	2	1	0	1	0	2	0	0.0	0.0	2947158.8	7746882.5	1.9428196E7	1.7035024E7	0.0	0.0	0.0	1.7718416E7	1.2301386E7	0.0	0.0	0.0	0.0	0.0	1.3524213E7	0.0	0.0	0.0	0.0	1.0120651E7	0.0	0.0	
sp|Q9P021|CRIPT_HUMAN	Q9P021	CRIPT_HUMAN	CRIPT	101	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich PDZ-binding protein	0.9311	0.9986	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	4741095.5	3656717.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9P031|TAP26_HUMAN	Q9P031	TAP26_HUMAN	CCDC59	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thyroid transcription factor 1-associated protein 26	1.0	0.9981	3	4	4	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0.0	0.0	0.0	1.2659631E7	8728316.0	2.2102928E7	3.3509618E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7261888E7	2.2201436E7	0.0	0.0	0.0	0.0	0.0	
sp|Q9P032|NDUF4_HUMAN	Q9P032	NDUF4_HUMAN	NDUFAF4	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	1.0	0.9979	5	17	17	17	0	0	2	3	1	1	2	1	1	4	0	2	0	0	2	3	1	1	2	1	1	4	0	2	0	0	2	3	1	1	2	1	1	4	0	2	3.5510572E7	2.4799724E7	5.393664E7	4.6769592E7	5.0366208E7	2.4107148E7	6.0238624E7	0.0	8.028304E7	4.5286632E7	0.0	2.6581836E7	2.0910908E7	0.0	2.4604356E7	3.5492316E7	2.7689744E7	0.0	3.5321064E7	0.0	3.7768712E7	3.9239708E7	0.0	0.0	
sp|Q9P035|HACD3_HUMAN	Q9P035	HACD3_HUMAN	HACD3	362	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	1.0	0.999	9	108	108	108	10	10	10	10	8	12	8	5	10	9	8	8	10	10	10	10	8	12	8	5	10	9	8	8	10	10	10	10	8	12	8	5	10	9	8	8	7.6333626E8	7.7089914E8	9.2324326E8	6.9401978E8	7.0952186E8	5.5206426E8	5.890295E8	4.63904704E8	5.3491296E8	7.7753267E8	5.16368096E8	8.1435091E8	2.9597936E8	2.99919296E8	3.6152336E8	2.7126416E8	3.14283296E8	2.52053456E8	2.27972864E8	2.30309552E8	2.6327696E8	3.07434656E8	2.22431728E8	3.17211168E8	
sp|Q9P0I2|EMC3_HUMAN	Q9P0I2	EMC3_HUMAN	EMC3	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	ER membrane protein complex subunit 3	1.0	0.999	3	9	9	9	3	1	1	1	1	1	0	0	0	1	0	0	3	1	1	1	1	1	0	0	0	1	0	0	3	1	1	1	1	1	0	0	0	1	0	0	1.143125E7	1.1058993E7	1.92608E7	2.1724564E7	0.0	1.9908152E7	0.0	0.0	2.284009E7	2.1327816E7	0.0	1.8784976E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9P0J0|NDUAD_HUMAN	Q9P0J0	NDUAD_HUMAN	NDUFA13	144	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	0.9305	0.9986	1	6	6	6	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1.6127909E7	3.2979922E7	1.5428901E7	3.351045E7	0.0	0.0	4.2770092E7	2.5880788E7	2.6587908E7	0.0	2.0544098E7	2.7215626E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9P0J7|KCMF1_HUMAN	Q9P0J7	KCMF1_HUMAN	KCMF1	381	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase KCMF1	1.0	0.999	4	25	25	25	4	3	3	1	2	3	2	2	2	1	1	1	4	3	3	1	2	3	2	2	2	1	1	1	4	3	3	1	2	3	2	2	2	1	1	1	8.9881248E7	4.2417936E7	6.990344E7	4.3645356E7	6.5068784E7	6.9532032E7	6.747024E7	9.9292968E7	6.8633984E7	7.9331136E7	0.0	6.3754544E7	5.6716172E7	2.7887474E7	4.0734552E7	0.0	4.2966812E7	3.7618168E7	4.6240956E7	6.4919156E7	4.7142776E7	4.5141276E7	0.0	4.0736232E7	
sp|Q9P0K8|FOXJ2_HUMAN	Q9P0K8	FOXJ2_HUMAN	FOXJ2	574	Homo sapiens OX=9606	1:Experimental evidence at protein level	Forkhead box protein J2	1.0	0.999	6	57	57	68	6	6	7	3	4	5	2	2	6	7	6	3	6	6	7	3	4	5	2	2	6	7	6	3	7	7	7	4	5	6	3	3	7	8	7	4	1.04735768E8	1.3349448E8	1.88029424E8	1.01225288E8	1.288416E8	1.10998304E8	4.7684272E7	2304638.8	1.00226368E8	1.07524552E8	3.4020568E7	8.8832944E7	3.9494748E7	4.0019048E7	4.7094376E7	4.3795704E7	3.6801972E7	4.1369248E7	2.9532856E7	0.0	3.112034E7	4.2435704E7	3.4423116E7	3.891858E7	
sp|Q9P0L0|VAPA_HUMAN	Q9P0L0	VAPA_HUMAN	VAPA	249	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vesicle-associated membrane protein-associated protein A	1.0	0.999	7	30	30	30	3	3	4	2	4	3	0	3	2	2	2	2	3	3	4	2	4	3	0	3	2	2	2	2	3	3	4	2	4	3	0	3	2	2	2	2	4.5328604E7	7.5147E7	1.05282584E8	2.6044304E7	7.697084E7	7.4812912E7	2.9830892E7	3.5521812E7	7.2922584E7	4.1697548E7	4.7107192E7	4.7990808E7	3.5600948E7	2.5333036E7	3.2401264E7	0.0	2.8161752E7	2.9125072E7	1.8159934E7	2.280257E7	2.8050476E7	2.3485864E7	3.1000114E7	2.7978336E7	
sp|Q9P0L2|MARK1_HUMAN	Q9P0L2	MARK1_HUMAN	MARK1	795	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase MARK1	1.0	0.999	5	2	2	6	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4330359.0	0.0	9547239.0	7695857.0	0.0	0.0	0.0	5932564.5	2537928.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9P0N9|TBCD7_HUMAN	Q9P0N9	TBCD7_HUMAN	TBC1D7	293	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 7	0.9537	0.9916	2	4	4	4	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	9034999.0	0.0	6481927.0	0.0	7210492.5	4668001.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
